id,amp_typical,amp_worst,cond_S,delta0_Ha,delta0_eV,e_homo_eV,e_lumo_eV,gap_eV,homo_split_eV,i_hi,i_lo,k_window,lambda_min_S,lumo_split_eV,n_atoms,n_basis,n_dropped,n_heavy,n_negative_eigs,n_occ,scf_check_max_deps_Ha
0,9.142389166734208,71.50465084356621,361.92360775163,0.27289434560953996,7.425833442727331,-10.556039178695585,2.039880188515316,12.5959193672109,0.00019687994907518995,8,2,7,0.013985104300246748,1.9629399280112958,5,34,0,1,5,5,3.416388629773337e-07
1,7.754836023861889,35.0456601427414,159.6750410595862,0.381179328706466,10.372417942418068,-6.797031891238021,1.5311630496748856,8.328194940912907,5.3522271052275965,7,2,6,0.02853420354837055,2.339748424988183,4,29,0,1,5,5,5.6270758719279e-07
2,7.240554257644844,26.50736945332928,101.63369773830681,0.14737112085516846,4.010172491094166,-7.8450623012790865,1.330104824629278,9.175167125908365,2.0458684294238356,6,3,4,0.03772535791454786,2.1536769968330054,3,24,0,1,5,5,6.064356448121089e-07
3,60.08316258494682,772.3953515146261,3171.070467971885,0.04460097238422771,1.2136542864938644,-7.921200704804802,1.1236386146764985,9.044839319481301,1.2084283016905673e-13,8,5,4,0.0012946737678302352,8.855513648326188e-14,4,38,0,2,7,7,
4,32.09204074265711,200.89438574455878,759.081685740487,0.01412824895494319,0.38444923929243546,-9.902149080417072,0.47094914155160267,10.373098221968673,4.3427376999441163e-08,8,5,4,0.0049777399019578375,1.7132889423613736e-08,3,33,0,2,7,7,
5,9.848344559459077,54.56165956707019,230.06051335433273,0.045888066664764804,1.2486779060965614,-7.274071637351135,-1.1706088775506385,6.103462759800497,3.677212380151228,9,6,4,0.01832788826319964,3.1242239604518494,4,38,0,2,9,8,
6,49.46642449365901,221.39370672190233,1293.5487050182496,0.01634155046112208,0.44467624145589624,-9.228419450093172,1.8151686731045733,11.043588123197747,0.0002062297921490694,10,7,4,0.0045168402246235605,1.2345334324185846,8,58,0,2,9,9,
7,9.613256619223758,85.3986918957484,429.06777157615187,0.04098969033405546,1.115386295783424,-7.176317136406277,1.5189068887781136,8.695224025184393,1.687720052327039,10,7,4,0.011709781236705165,1.1151853056326375,6,48,0,2,9,9,
8,76.39617178366132,1231.8872927732768,6519.4677290912505,0.016830039974656673,0.4579687182858008,-7.2559721443076945,1.452505899105265,8.70847804341296,3.208545352697516e-06,12,9,4,0.0008117625742763834,3.682939352210711e-05,7,62,0,3,11,11,
9,98.96768150758518,789.627137579609,4123.825157625961,0.012024840505992437,0.32721257955496197,-8.965480255664403,0.9772005607857684,9.94268081645017,4.4835699325103855e-05,12,9,4,0.0012664205071082446,0.00027472791466710773,6,57,0,3,11,11,
